mal_id,title,title_english,release_year,score,episodes,duration,favorites,type,status,genres,source,season,studios,themes,rank,rating
97.0,Last Exile,Last Exile,2003,7.656666666666666,26.0,24 min per ep,187527.0,TV,FINISHED,"Action, Adventure, Sci-Fi",Original,spring,Gonzo,"",1200.0,PG-13 - Teens 13 or older
105.0,Boys Be...,Boys Be...,2000,6.236666666666667,13.0,23 min per ep,25615.0,TV,FINISHED,"Comedy, Romance",Manga,spring,HAL Film Maker,School,8422.0,PG-13 - Teens 13 or older
110.0,Chuuka Ichiban!,Cooking Master Boy,1997,7.390000000000001,52.0,23 min per ep,21775.0,TV,FINISHED,"Action, Comedy, Drama, Gourmet",Manga,spring,Nippon Animation,"",1772.0,PG-13 - Teens 13 or older
117.0,Shinpi no Sekai El-Hazard,El Hazard: The Magnificent World,1995,7.1433333333333335,7.0,34 min per ep,22653.0,OVA,FINISHED,"Adventure, Comedy, Fantasy, Romance",Original,SPRING,AIC,"Crossdressing, Isekai",3294.0,PG-13 - Teens 13 or older
126.0,Futakoi Alternative,Twin Love 2,2005,6.75,13.0,24 min per ep,33622.0,TV,FINISHED,"Comedy, Drama, Romance",Original,spring,"ufotable, feel., Studio Flag","",5387.0,PG-13 - Teens 13 or older
136.0,Hunter x Hunter,Hunter x Hunter,1999,8.38,62.0,23 min per ep,645836.0,TV,FINISHED,"Action, Adventure, Fantasy",Manga,fall,Nippon Animation,"",199.0,PG-13 - Teens 13 or older
148.0,Kita e.: Diamond Dust Drops,Diamond Daydreams,2004,6.463333333333334,12.0,24 min per ep,10603.0,TV,FINISHED,"Drama, Romance",Visual novel,winter,Studio Deen,"",7061.0,PG-13 - Teens 13 or older
150.0,Blood+,Blood+,2005,7.576666666666667,50.0,23 min per ep,397106.0,TV,FINISHED,"Action, Drama, Horror, Mystery, Supernatural",Original,fall,Production I.G,"Gore, Military, Vampire",1693.0,R - 17+ (violence & profanity)
158.0,Maria-sama ga Miteru,Maria Watches Over Us,2004,7.163333333333333,13.0,23 min per ep,76857.0,TV,FINISHED,"Drama, Girls Love",Light novel,winter,Studio Deen,School,3097.0,PG-13 - Teens 13 or older
163.0,Power Stone,Power Stone,1999,6.403333333333333,26.0,24 min per ep,9338.0,TV,FINISHED,"Adventure, Comedy, Fantasy",Game,spring,Studio Pierrot,Historical,7503.0,PG - Children
174.0,Tenjou Tenge,Tenjho Tenge,2004,6.713333333333334,24.0,23 min per ep,200375.0,TV,FINISHED,"Action, Drama, Supernatural, Ecchi",Manga,spring,Madhouse,"Delinquents, Martial Arts, School, Super Power",5763.0,R - 17+ (violence & profanity)
190.0,Love Hina Again,Love Hina Again,2002,7.076666666666667,3.0,28 min per ep,89181.0,OVA,FINISHED,"Comedy, Romance, Ecchi",Manga,WINTER,Xebec,"",3685.0,PG-13 - Teens 13 or older
192.0,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie,2001,7.02,1.0,46 min,55293.0,TV Special,FINISHED,"Adventure, Comedy, Romance",Manga,SPRING,Xebec,"",3925.0,PG-13 - Teens 13 or older
203.0,Words Worth,Words Worth,1999,6.413333333333333,5.0,28 min per ep,9680.0,OVA,FINISHED,"Adventure, Fantasy, Hentai",Visual novel,SUMMER,Arms,"",0.0,Rx - Hentai
209.0,R.O.D: The TV,R.O.D -The TV-,2003,7.653333333333333,26.0,25 min per ep,74602.0,TV,FINISHED,"Action, Adventure, Comedy, Drama, Sci-Fi",Manga,fall,J.C.Staff,Super Power,2034.0,R+ - Mild Nudity
222.0,Mezzo DSA,Mezzo,2004,6.513333333333333,13.0,24 min per ep,27288.0,TV,FINISHED,"Action, Adventure, Comedy, Mystery, Sci-Fi",Original,winter,Arms,"",6674.0,R+ - Mild Nudity
223.0,Dragon Ball,Dragon Ball,1986,7.913333333333334,153.0,24 min per ep,1135316.0,TV,FINISHED,"Action, Adventure, Comedy, Fantasy",Manga,winter,Toei Animation,Martial Arts,759.0,PG-13 - Teens 13 or older
226.0,Elfen Lied,Elfen Lied,2004,7.246666666666667,13.0,25 min per ep,1611460.0,TV,FINISHED,"Action, Drama, Horror, Romance, Suspense",Manga,summer,Arms,"Gore, Psychological, Super Power",2317.0,R+ - Mild Nudity
